t_ns,t_s,utm_easting,utm_northing,altitude,hdop,latitude,longitude,zone,letter
1770476599446984907,51.961089151,330449.5211285689,4687193.6665447615,39.8,0.75,42.318533333333335,-71.05752666666666,19,T
1770476600454993577,52.969097821000005,330449.5256049149,4687193.851614519,39.8,0.75,42.318535,-71.05752666666666,19,T
1770476601451444903,53.965549147000004,330449.39273399,4687194.040006346,39.8,0.75,42.31853666666667,-71.05752833333334,19,T
1770476602450954231,54.965058475000006,330449.39273399,4687194.040006346,39.8,0.75,42.31853666666667,-71.05752833333334,19,T
1770476603451263269,55.965367513000004,330449.53008126107,4687194.036684278,39.8,0.75,42.31853666666667,-71.05752666666666,19,T
1770476604453627713,56.967731957000005,330449.5345576075,4687194.221754037,39.8,0.75,42.318538333333336,-71.05752666666666,19,T
1770476605451300066,57.965404310000004,330449.5345576075,4687194.221754037,39.9,0.75,42.318538333333336,-71.05752666666666,19,T
1770476606453692624,58.967796868,330449.5435103006,4687194.591893553,39.9,0.75,42.31854166666667,-71.05752666666666,19,T
1770476607445693743,59.959797987,330449.55246299424,4687194.962033072,40.0,0.75,42.318545,-71.05752666666666,19,T
1770476608445921185,60.960025429000005,330449.419592092,4687195.150424898,40.1,0.75,42.31854666666667,-71.05752833333334,19,T
1770476609445987613,61.960091857,330449.42854479374,4687195.520564416,40.2,0.75,42.31855,-71.05752833333334,19,T
1770476610452641621,62.96674586500001,330449.43749749614,4687195.890703933,40.1,0.75,42.318553333333334,-71.05752833333334,19,T
1770476611451020771,63.965125015000005,330449.43749749614,4687195.890703933,40.2,0.75,42.318553333333334,-71.05752833333334,19,T
1770476612454058391,64.968162635,330449.44197384757,4687196.075773693,40.2,0.75,42.318555,-71.05752833333334,19,T
1770476613450950832,65.965055076,330449.5793210787,4687196.072451625,40.2,0.75,42.318555,-71.05752666666666,19,T
1770476614445548873,66.959653117,330449.5882737747,4687196.442591143,40.3,0.75,42.318558333333335,-71.05752666666666,19,T
1770476615445027698,67.959131942,330449.7300973411,4687196.624338836,40.4,0.75,42.31856,-71.057525,19,T
1770476616446101101,68.960205345,330449.7345736858,4687196.809408596,40.4,0.75,42.31856166666667,-71.057525,19,T
1770476617444943926,69.95904817,330449.7390500307,4687196.994478355,40.4,0.75,42.31856333333333,-71.057525,19,T
1770476618447959184,70.96206342800001,330449.7390500307,4687196.994478355,40.4,0.75,42.31856333333333,-71.057525,19,T
1770476619445243561,71.95934780500001,330449.7390500307,4687196.994478355,40.4,0.75,42.31856333333333,-71.057525,19,T
1770476620444978617,72.959082861,330449.7435263757,4687197.1795481155,40.5,0.75,42.318565,-71.057525,19,T
1770476621451162909,73.965267153,330449.7480027208,4687197.364617875,40.5,0.75,42.31856666666667,-71.057525,19,T
1770476622451813541,74.965917785,330449.75247906614,4687197.549687634,40.6,0.75,42.31856833333333,-71.057525,19,T
1770476623451034980,75.965139224,330449.75247906614,4687197.549687634,40.6,0.75,42.31856833333333,-71.057525,19,T
1770476624453684288,76.967788532,330449.7569554116,4687197.734757393,40.7,0.75,42.31857,-71.057525,19,T
1770476625450874029,77.964978273,330449.7569554116,4687197.734757393,40.7,0.75,42.31857,-71.057525,19,T
1770476626450673684,78.964777928,330449.7569554116,4687197.734757393,40.7,0.75,42.31857,-71.057525,19,T
1770476627450569739,79.96467398300001,330449.7614317572,4687197.919827153,40.8,0.75,42.318571666666664,-71.057525,19,T
1770476628448643061,80.96274730500001,330449.76590810285,4687198.104896911,40.9,0.75,42.31857333333333,-71.057525,19,T
1770476629445668280,81.959772524,330449.77038444876,4687198.289966672,41.0,0.75,42.318575,-71.057525,19,T
1770476630448531428,82.962635672,330449.77038444876,4687198.289966672,41.0,0.75,42.318575,-71.057525,19,T
1770476631450790159,83.964894403,330449.9122079767,4687198.471714369,41.0,0.75,42.318576666666665,-71.05752333333334,19,T
1770476632450672946,84.96477719,330449.9122079767,4687198.471714369,41.0,0.75,42.318576666666665,-71.05752333333334,19,T
1770476633451110785,85.965215029,330449.9122079767,4687198.471714369,41.0,0.75,42.318576666666665,-71.05752333333334,19,T
1770476634452736110,86.966840354,330449.91668431915,4687198.656784129,41.0,0.75,42.318578333333335,-71.05752333333334,19,T
