t_ns,t_s,utm_easting,utm_northing,altitude,hdop,latitude,longitude,zone,letter
1770477954882284600,84.852203638,331231.5308456897,4687772.176544813,14.0,0.79,42.32391,-71.04821166666666,19,T
1770477955885058929,85.85497796700001,331231.5308456897,4687772.176544813,14.0,0.79,42.32391,-71.04821166666666,19,T
1770477956882210356,86.852129394,331231.5308456897,4687772.176544813,14.1,0.79,42.32391,-71.04821166666666,19,T
1770477957882279426,87.85219846400001,331231.5308456897,4687772.176544813,14.1,0.79,42.32391,-71.04821166666666,19,T
1770477958882302386,88.852221424,331231.53530221304,4687772.361614622,14.2,0.79,42.32391166666667,-71.04821166666666,19,T
1770477959886508842,89.85642788000001,331231.53530221304,4687772.361614622,14.2,0.79,42.32391166666667,-71.04821166666666,19,T
1770477960882302208,90.852221246,331231.53530221304,4687772.361614622,14.2,0.79,42.32391166666667,-71.04821166666666,19,T
1770477961879315716,91.84923475400001,331231.53530221304,4687772.361614622,14.2,0.79,42.32391166666667,-71.04821166666666,19,T
1770477962882093362,92.8520124,331231.39796672366,4687772.364921694,14.2,0.79,42.32391166666667,-71.04821333333334,19,T
1770477963877171712,93.84709075,331231.53530221304,4687772.361614622,14.3,0.79,42.32391166666667,-71.04821166666666,19,T
1770477964877480164,94.847399202,331231.53530221304,4687772.361614622,14.3,0.79,42.32391166666667,-71.04821166666666,19,T
1770477965878726735,95.848645773,331231.53530221304,4687772.361614622,14.3,0.79,42.32391166666667,-71.04821166666666,19,T
1770477966875073368,96.844992406,331231.53530221304,4687772.361614622,14.3,0.79,42.32391166666667,-71.04821166666666,19,T
1770477967878068728,97.847987766,331231.6681811785,4687772.173237746,14.3,0.79,42.32391,-71.04821,19,T
1770477968875303748,98.84522278600001,331231.5308456897,4687772.176544813,14.3,0.79,42.32391,-71.04821166666666,19,T
1770477969877296877,99.847215915,331231.5308456897,4687772.176544813,14.3,0.79,42.32391,-71.04821166666666,19,T
1770477970877258722,100.84717776000001,331231.5308456897,4687772.176544813,14.4,0.79,42.32391,-71.04821166666666,19,T
1770477971878634409,101.848553447,331231.5308456897,4687772.176544813,14.5,0.79,42.32391,-71.04821166666666,19,T
1770477972877477195,102.84739623300001,331231.5308456897,4687772.176544813,14.6,0.79,42.32391,-71.04821166666666,19,T
1770477973880243465,103.850162503,331231.53530221304,4687772.361614622,14.6,0.79,42.32391166666667,-71.04821166666666,19,T
1770477974877799250,104.84771828800001,331231.53530221304,4687772.361614622,14.6,0.79,42.32391166666667,-71.04821166666666,19,T
1770477975877220440,105.847139478,331231.53530221304,4687772.361614622,14.7,0.8,42.32391166666667,-71.04821166666666,19,T
1770477976876097450,106.846016488,331231.53530221304,4687772.361614622,14.7,0.8,42.32391166666667,-71.04821166666666,19,T
1770477977882380541,107.852299579,331231.53530221304,4687772.361614622,14.8,0.8,42.32391166666667,-71.04821166666666,19,T
1770477978879510009,108.849429047,331231.53530221304,4687772.361614622,14.8,0.8,42.32391166666667,-71.04821166666666,19,T
1770477979882479557,109.85239859500001,331231.53530221304,4687772.361614622,14.9,0.8,42.32391166666667,-71.04821166666666,19,T
1770477980881862552,110.85178159,331231.53530221304,4687772.361614622,14.9,0.8,42.32391166666667,-71.04821166666666,19,T
1770477981879473155,111.849392193,331231.53530221304,4687772.361614622,14.9,0.8,42.32391166666667,-71.04821166666666,19,T
1770477982879986316,112.849905354,331231.53530221304,4687772.361614622,14.9,0.8,42.32391166666667,-71.04821166666666,19,T
1770477983881876513,113.85179555100001,331231.67263769824,4687772.358307553,14.9,0.8,42.32391166666667,-71.04821,19,T
1770477984875029954,114.84494899200001,331231.53530221304,4687772.361614622,14.9,0.8,42.32391166666667,-71.04821166666666,19,T
1770477985877831079,115.847750117,331231.67263769824,4687772.358307553,14.9,0.8,42.32391166666667,-71.04821,19,T
1770477986880216023,116.850135061,331231.67263769824,4687772.358307553,14.9,0.8,42.32391166666667,-71.04821,19,T
1770477987879931274,117.849850312,331231.67263769824,4687772.358307553,14.9,0.8,42.32391166666667,-71.04821,19,T
1770477988880018941,118.849937979,331231.67263769824,4687772.358307553,14.9,0.8,42.32391166666667,-71.04821,19,T
1770477989885144098,119.85506313600001,331231.67263769824,4687772.358307553,14.9,0.8,42.32391166666667,-71.04821,19,T
1770477990876975370,120.84689440800001,331231.67263769824,4687772.358307553,14.9,0.8,42.32391166666667,-71.04821,19,T
1770477991880259054,121.85017809200001,331231.67263769824,4687772.358307553,14.9,0.8,42.32391166666667,-71.04821,19,T
1770477992876696054,122.84661509200001,331231.67263769824,4687772.358307553,14.9,0.8,42.32391166666667,-71.04821,19,T
1770477993876842094,123.84676113200001,331231.67263769824,4687772.358307553,14.9,0.8,42.32391166666667,-71.04821,19,T
1770477994876471657,124.84639069500001,331231.67263769824,4687772.358307553,14.9,0.8,42.32391166666667,-71.04821,19,T
1770477995877948750,125.847867788,331231.67263769824,4687772.358307553,14.9,0.8,42.32391166666667,-71.04821,19,T
1770477996876739656,126.84665869400001,331231.67263769824,4687772.358307553,14.9,0.8,42.32391166666667,-71.04821,19,T
1770477997876994467,127.846913505,331231.67263769824,4687772.358307553,14.9,0.8,42.32391166666667,-71.04821,19,T
1770477998879591213,128.849510251,331231.67263769824,4687772.358307553,14.9,0.8,42.32391166666667,-71.04821,19,T
1770477999879655202,129.84957424,331231.67263769824,4687772.358307553,14.8,0.8,42.32391166666667,-71.04821,19,T
1770478000879749912,130.84966895,331231.6681811785,4687772.173237746,14.8,0.8,42.32391,-71.04821,19,T
1770478001881174632,131.85109367,331231.6681811785,4687772.173237746,14.8,0.8,42.32391,-71.04821,19,T
1770478002880036042,132.84995508,331231.5308456897,4687772.176544813,14.8,0.8,42.32391,-71.04821166666666,19,T
1770478003882494965,133.852414003,331231.5308456897,4687772.176544813,14.8,0.8,42.32391,-71.04821166666666,19,T
1770478004874913002,134.84483204,331231.5308456897,4687772.176544813,14.9,0.8,42.32391,-71.04821166666666,19,T
1770478005879252908,135.849171946,331231.5263891665,4687771.991475005,14.8,0.8,42.323908333333335,-71.04821166666666,19,T
1770478006873962932,136.84388197,331231.5308456897,4687772.176544813,14.9,0.8,42.32391,-71.04821166666666,19,T
